Pais,Code,Year,Deaths from HIV/AIDS (Number),New infections of HIV/AIDS (new cases of HIV infection),Number of people living with HIV (x10) (tens of people living with HIV),Population
Latin America and Caribbean,,1990,16921.911007566603,90630.9549736,34271.2051377,442040696
Latin America and Caribbean,,1991,21294.171887845245,86406.4280411,41277.056252500006,450125305
Latin America and Caribbean,,1992,26123.274469627762,82549.9736706,47942.29152870001,458175526
Latin America and Caribbean,,1993,31831.272225989924,79500.6989496,54053.339200200004,466199679
Latin America and Caribbean,,1994,37302.20779156094,77761.0482999,59359.81525400001,474193423
Latin America and Caribbean,,1995,41719.60306762173,77931.2862735,63620.3810726,482150647
Latin America and Caribbean,,1996,44553.30509227253,80014.5277198,67241.7300499,490080681
Latin America and Caribbean,,1997,43795.524158252345,83290.9806128,70839.5192028,497957410
Latin America and Caribbean,,1998,44039.92782557964,87150.810849,74361.7316117,505774348
Latin America and Caribbean,,1999,45817.18226825445,90928.2563133,77742.6076304,513442848
Latin America and Caribbean,,2000,46757.71582285919,93907.5268514,80967.84015090001,520964431
Latin America and Caribbean,,2001,48111.39679888087,96007.8275401,84610.88615640001,528336554
Latin America and Caribbean,,2002,48171.823351984836,97822.6288437,89098.7485683,535570691
Latin America and Caribbean,,2003,48706.47071785877,99633.0513512,94095.9491885,542684680
Latin America and Caribbean,,2004,48841.164850031324,101707.711061,99219.62244880002,549705414
Latin America and Caribbean,,2005,48576.5177981834,104314.155558,104078.983466,556652026
Latin America and Caribbean,,2006,48284.479610261384,108371.264124,109099.965346,563521369
Latin America and Caribbean,,2007,47711.0899571397,114040.708555,114885.04439200001,570314774
Latin America and Caribbean,,2008,47480.31111744796,120402.992312,121218.54676699999,577050884
Latin America and Caribbean,,2009,46598.57895938669,126476.254037,127856.25407000001,583746102
Latin America and Caribbean,,2010,46229.445921751125,131105.532622,134398.244122,590303295
Latin America and Caribbean,,2011,45545.09600716981,134961.181724,141298.910401,596966199
Latin America and Caribbean,,2012,45016.332935240054,139318.764612,149167.841352,603586217
Latin America and Caribbean,,2013,44893.09621446088,143934.632239,157797.010402,610151927
Latin America and Caribbean,,2014,44538.16495735864,148642.483511,167097.016586,616619613
Latin America and Caribbean,,2015,44400.52559699553,153319.223207,177002.488748,622986033
Latin America and Caribbean,,2016,43386.957190289446,157789.098196,187420.486998,629240066
Latin America and Caribbean,,2017,42482.3549636638,161978.671628,198297.864528,635372515
