Pais,Code,Year,Deaths from HIV/AIDS (Number),New infections of HIV/AIDS (new cases of HIV infection),Number of people living with HIV (x10) (tens of people living with HIV),Population
Brazil,BRA,1990,8083.029458223411,25954.2189124,16587.6107506,149003223
Brazil,BRA,1991,10171.976238918387,25583.3364794,17901.428163,151648011
Brazil,BRA,1992,12102.123562432336,25555.068364,19189.4684946,154259380
Brazil,BRA,1993,14565.961657436006,25890.181746,20423.8203566,156849078
Brazil,BRA,1994,16469.739625909893,26608.1008152,21573.325281,159432716
Brazil,BRA,1995,18221.22690310445,27733.5691369,22611.4904214,162019896
Brazil,BRA,1996,18480.26145497525,30075.1596004,23847.313604000003,164614688
Brazil,BRA,1997,15930.060904079486,33893.8847043,25532.2793386,167209040
Brazil,BRA,1998,14764.146734655218,38300.3700371,27512.453542799998,169785250
Brazil,BRA,1999,14563.522209530454,42324.3401138,29615.514592,172318675
Brazil,BRA,2000,14510.716652489144,44899.7862806,31659.8855796,174790340
Brazil,BRA,2001,14620.675110290293,45865.6271937,33939.842489099996,177196054
Brazil,BRA,2002,14539.64153752015,46086.01464,36747.8382988,179537520
Brazil,BRA,2003,14942.36736350461,46006.6355999,39850.6613023,181809246
Brazil,BRA,2004,14593.658830434113,46118.0804437,42990.3516373,184006481
Brazil,BRA,2005,14568.090125749713,46940.8453632,45888.1670095,186127103
Brazil,BRA,2006,14410.314152293431,49058.4822978,48700.3808576,188167356
Brazil,BRA,2007,14553.430604742887,52325.5790522,51748.5823928,190130443
Brazil,BRA,2008,15042.930343375516,56155.508621,54966.4973559,192030362
Brazil,BRA,2009,15065.926007792263,59905.4179882,58279.63087000001,193886508
Brazil,BRA,2010,15292.553653552539,62884.890852,61609.9050725,195713635
Brazil,BRA,2011,15226.874795548265,65380.5618788,65114.9165101,197514534
Brazil,BRA,2012,15123.228333264897,68102.8662107,68997.7543322,199287296
Brazil,BRA,2013,15488.001448455483,71007.5109779,73231.18003830001,201035903
Brazil,BRA,2014,15432.969710372494,74041.6125729,77781.1438829,202763735+}
Brazil,BRA,2015,15408.257038549375,77165.6850556,82618.3573336,204471769
Brazil,BRA,2016,15242.89844541803,80289.2756137,87684.88992510001,206163058
Brazil,BRA,2017,15405.915567566935,83332.8228477,92916.456534,207833831
