Pais,Code,Year,Deaths from HIV/AIDS (Number),New infections of HIV/AIDS (new cases of HIV infection),Number of people living with HIV (x10) (tens of people living with HIV),Population
Latin America and Caribbean,,1990,16921.911007566603,90630.9549736,34271.2051377,442040696
Latin America and Caribbean,,1991,21294.171887845245,86406.4280411,41277.056252500006,450125305
Latin America and Caribbean,,1992,26123.274469627762,82549.9736706,47942.29152870001,458175526
Latin America and Caribbean,,1993,31831.272225989924,79500.6989496,54053.339200200004,466199679
Latin America and Caribbean,,1994,37302.20779156094,77761.0482999,59359.81525400001,474193423
Latin America and Caribbean,,1995,41719.60306762173,77931.2862735,63620.3810726,482150647
Latin America and Caribbean,,1996,44553.30509227253,80014.5277198,67241.7300499,490080681
Latin America and Caribbean,,1997,43795.524158252345,83290.9806128,70839.5192028,497957410
Latin America and Caribbean,,1998,44039.92782557964,87150.810849,74361.7316117,505774348
Latin America and Caribbean,,1999,45817.18226825445,90928.2563133,77742.6076304,513442848
Latin America and Caribbean,,2000,46757.71582285919,93907.5268514,80967.84015090001,520964431
Latin America and Caribbean,,2001,48111.39679888087,96007.8275401,84610.88615640001,528336554
Latin America and Caribbean,,2002,48171.823351984836,97822.6288437,89098.7485683,535570691
Latin America and Caribbean,,2003,48706.47071785877,99633.0513512,94095.9491885,542684680
Latin America and Caribbean,,2004,48841.164850031324,101707.711061,99219.62244880002,549705414
Latin America and Caribbean,,2005,48576.5177981834,104314.155558,104078.983466,556652026
Latin America and Caribbean,,2006,48284.479610261384,108371.264124,109099.965346,563521369
Latin America and Caribbean,,2007,47711.0899571397,114040.708555,114885.04439200001,570314774
Latin America and Caribbean,,2008,47480.31111744796,120402.992312,121218.54676699999,577050884
Latin America and Caribbean,,2009,46598.57895938669,126476.254037,127856.25407000001,583746102
Latin America and Caribbean,,2010,46229.445921751125,131105.532622,134398.244122,590303295
Latin America and Caribbean,,2011,45545.09600716981,134961.181724,141298.910401,596966199
Latin America and Caribbean,,2012,45016.332935240054,139318.764612,149167.841352,603586217
Latin America and Caribbean,,2013,44893.09621446088,143934.632239,157797.010402,610151927
Latin America and Caribbean,,2014,44538.16495735864,148642.483511,167097.016586,616619613
Latin America and Caribbean,,2015,44400.52559699553,153319.223207,177002.488748,622986033
Latin America and Caribbean,,2016,43386.957190289446,157789.098196,187420.486998,629240066
Latin America and Caribbean,,2017,42482.3549636638,161978.671628,198297.864528,635372515
Brazil,BRA,1990,8083.029458223411,25954.2189124,16587.6107506,149003223
Brazil,BRA,1991,10171.976238918387,25583.3364794,17901.428163,151648011
Brazil,BRA,1992,12102.123562432336,25555.068364,19189.4684946,154259380
Brazil,BRA,1993,14565.961657436006,25890.181746,20423.8203566,156849078
Brazil,BRA,1994,16469.739625909893,26608.1008152,21573.325281,159432716
Brazil,BRA,1995,18221.22690310445,27733.5691369,22611.4904214,162019896
Brazil,BRA,1996,18480.26145497525,30075.1596004,23847.313604000003,164614688
Brazil,BRA,1997,15930.060904079486,33893.8847043,25532.2793386,167209040
Brazil,BRA,1998,14764.146734655218,38300.3700371,27512.453542799998,169785250
Brazil,BRA,1999,14563.522209530454,42324.3401138,29615.514592,172318675
Brazil,BRA,2000,14510.716652489144,44899.7862806,31659.8855796,174790340
Brazil,BRA,2001,14620.675110290293,45865.6271937,33939.842489099996,177196054
Brazil,BRA,2002,14539.64153752015,46086.01464,36747.8382988,179537520
Brazil,BRA,2003,14942.36736350461,46006.6355999,39850.6613023,181809246
Brazil,BRA,2004,14593.658830434113,46118.0804437,42990.3516373,184006481
Brazil,BRA,2005,14568.090125749713,46940.8453632,45888.1670095,186127103
Brazil,BRA,2006,14410.314152293431,49058.4822978,48700.3808576,188167356
Brazil,BRA,2007,14553.430604742887,52325.5790522,51748.5823928,190130443
Brazil,BRA,2008,15042.930343375516,56155.508621,54966.4973559,192030362
Brazil,BRA,2009,15065.926007792263,59905.4179882,58279.63087000001,193886508
Brazil,BRA,2010,15292.553653552539,62884.890852,61609.9050725,195713635
Brazil,BRA,2011,15226.874795548265,65380.5618788,65114.9165101,197514534
Brazil,BRA,2012,15123.228333264897,68102.8662107,68997.7543322,199287296
Brazil,BRA,2013,15488.001448455483,71007.5109779,73231.18003830001,201035903
Brazil,BRA,2014,15432.969710372494,74041.6125729,77781.1438829,202763735
Brazil,BRA,2015,15408.257038549375,77165.6850556,82618.3573336,204471769
Brazil,BRA,2016,15242.89844541803,80289.2756137,87684.88992510001,206163058
Brazil,BRA,2017,15405.915567566935,83332.8228477,92916.456534,207833831
Colombia,COL,1990,429.5881894267906,2179.88218846,745.9131484210001,33102575
Colombia,COL,1991,521.3494903871102,3093.70377427,1041.70393119,33758337
Colombia,COL,1992,543.8891361162904,3875.22634517,1348.0776424800001,34422569
Colombia,COL,1993,673.4046761742588,4500.30913246,1657.5596942299999,35091275
Colombia,COL,1994,927.3024930953117,4942.83101448,1961.6539415500001,35758979
Colombia,COL,1995,1039.5034567743235,5175.98147584,2251.57245495,36421438
Colombia,COL,1996,1089.9871754225953,5100.0322598,2592.6974519600003,37076387
Colombia,COL,1997,1818.6276472206207,4734.53213925,3011.8292217,37723800
Colombia,COL,1998,1823.5345902355507,4247.152102,3440.8712044900003,38364309
Colombia,COL,1999,2029.3074464203062,3817.43996947,3805.2226556000005,38999471
Colombia,COL,2000,2205.332345865602,3636.98317452,4024.79659161,39629968
Colombia,COL,2001,2499.409312990396,3696.41154405,4149.08878677,40255967
Colombia,COL,2002,2468.4514758800983,3835.46764658,4282.70490113,40875360
Colombia,COL,2003,2599.7459087869024,4027.93219791,4431.3664289,41483869
Colombia,COL,2004,2700.4718827878014,4244.18844552,4599.51081344,42075955
Colombia,COL,2005,2687.8209266529993,4449.14731963,4787.9865082999995,42647723
Colombia,COL,2006,2675.4189182926,4667.47075549,5028.463159540001,43200897
Colombia,COL,2007,2772.5406376212995,4938.60830444,5337.24694963,43737516
Colombia,COL,2008,2754.347125315804,5245.60703227,5693.19144491,44254975
Colombia,COL,2009,2695.3974790204975,5567.41369886,6071.671308010001,44750054
Colombia,COL,2010,2799.8993048681,5887.08727498,6449.15159314,45222700
Colombia,COL,2011,2728.413632562502,6237.1451324,6872.18452979,45663099
Colombia,COL,2012,2627.4329774997027,6656.48834805,7397.475134259999,46076848
Colombia,COL,2013,2730.8276891801997,7139.39104926,8017.256997490001,46497267
Colombia,COL,2014,2717.5598590240033,7675.53880865,8721.159534850001,46969209
Colombia,COL,2015,2688.2563153994006,8254.92890763,9499.493976720001,47520667
Colombia,COL,2016,2659.4884332782995,8872.5049885,10344.866078400002,48171392
Colombia,COL,2017,2636.5587719489977,9518.54984417,11247.297199,48901066
